2024-11-26 20:37:15,037 - Packet - Src: 52.108.240.61, Dst: 192.168.8.194, Protocol: 6, Size: 87 bytes
2024-11-26 20:37:15,081 - Packet - Src: 192.168.8.194, Dst: 52.108.240.61, Protocol: 6, Size: 54 bytes
2024-11-26 20:37:20,156 - Packet - Src: 192.168.8.194, Dst: 192.168.8.1, Protocol: 17, Size: 105 bytes
2024-11-26 20:37:20,167 - Packet - Src: 192.168.8.1, Dst: 192.168.8.194, Protocol: 17, Size: 390 bytes
2024-11-26 20:37:31,611 - Packet - Src: 52.108.240.61, Dst: 192.168.8.194, Protocol: 6, Size: 87 bytes
2024-11-26 20:37:31,658 - Packet - Src: 192.168.8.194, Dst: 52.108.240.61, Protocol: 6, Size: 54 bytes
2024-11-26 20:37:39,905 - Packet - Src: 192.168.8.130, Dst: 255.255.255.255, Protocol: 17, Size: 100 bytes
2024-11-26 20:37:47,104 - Packet - Src: 52.108.240.61, Dst: 192.168.8.194, Protocol: 6, Size: 87 bytes
2024-11-26 20:37:47,145 - Packet - Src: 192.168.8.194, Dst: 52.108.240.61, Protocol: 6, Size: 54 bytes
2024-11-26 20:37:48,444 - Packet - Src: 192.168.8.182, Dst: 224.0.0.22, Protocol: 2, Size: 54 bytes
2024-11-26 20:37:50,979 - Packet - Src: 192.168.8.182, Dst: 224.0.0.22, Protocol: 2, Size: 54 bytes
2024-11-26 20:37:55,113 - Packet - Src: 192.168.8.194, Dst: 162.247.243.29, Protocol: 6, Size: 54 bytes
2024-11-26 20:37:55,114 - Packet - Src: 192.168.8.194, Dst: 162.247.243.29, Protocol: 6, Size: 54 bytes
2024-11-26 20:37:55,188 - Packet - Src: 162.247.243.29, Dst: 192.168.8.194, Protocol: 6, Size: 54 bytes
2024-11-26 20:37:55,189 - Packet - Src: 162.247.243.29, Dst: 192.168.8.194, Protocol: 6, Size: 54 bytes
2024-11-26 20:37:55,192 - Packet - Src: 162.247.243.29, Dst: 192.168.8.194, Protocol: 6, Size: 78 bytes
2024-11-26 20:37:55,194 - Packet - Src: 162.247.243.29, Dst: 192.168.8.194, Protocol: 6, Size: 54 bytes
2024-11-26 20:37:55,194 - Packet - Src: 162.247.243.29, Dst: 192.168.8.194, Protocol: 6, Size: 54 bytes
2024-11-26 20:37:55,195 - Packet - Src: 162.247.243.29, Dst: 192.168.8.194, Protocol: 6, Size: 78 bytes
2024-11-26 20:37:55,197 - Packet - Src: 192.168.8.194, Dst: 162.247.243.29, Protocol: 6, Size: 54 bytes
2024-11-26 20:37:55,198 - Packet - Src: 192.168.8.194, Dst: 162.247.243.29, Protocol: 6, Size: 54 bytes
2024-11-26 20:37:55,199 - Packet - Src: 192.168.8.194, Dst: 162.247.243.29, Protocol: 6, Size: 54 bytes
2024-11-26 20:37:55,200 - Packet - Src: 192.168.8.194, Dst: 162.247.243.29, Protocol: 6, Size: 54 bytes
2024-11-26 20:38:01,614 - Packet - Src: 192.168.8.130, Dst: 255.255.255.255, Protocol: 17, Size: 78 bytes
2024-11-26 20:38:03,047 - Packet - Src: 52.108.240.61, Dst: 192.168.8.194, Protocol: 6, Size: 87 bytes
2024-11-26 20:38:03,096 - Packet - Src: 192.168.8.194, Dst: 52.108.240.61, Protocol: 6, Size: 54 bytes
2024-11-26 20:38:04,892 - Packet - Src: 192.168.8.130, Dst: 255.255.255.255, Protocol: 17, Size: 100 bytes
2024-11-26 20:38:12,505 - Packet - Src: 192.168.8.188, Dst: 224.0.0.22, Protocol: 2, Size: 54 bytes
2024-11-26 20:38:15,793 - Packet - Src: 192.168.8.188, Dst: 224.0.0.22, Protocol: 2, Size: 54 bytes
2024-11-26 20:38:18,202 - Packet - Src: 52.108.240.61, Dst: 192.168.8.194, Protocol: 6, Size: 87 bytes
2024-11-26 20:38:18,204 - Packet - Src: 52.108.240.61, Dst: 192.168.8.194, Protocol: 6, Size: 87 bytes
2024-11-26 20:38:18,205 - Packet - Src: 192.168.8.194, Dst: 52.108.240.61, Protocol: 6, Size: 66 bytes
2024-11-26 20:38:23,733 - Packet - Src: 192.168.8.130, Dst: 239.255.255.250, Protocol: 17, Size: 236 bytes
2024-11-26 20:38:29,875 - Packet - Src: 192.168.8.130, Dst: 255.255.255.255, Protocol: 17, Size: 100 bytes
2024-11-26 20:38:34,282 - Packet - Src: 52.108.240.61, Dst: 192.168.8.194, Protocol: 6, Size: 87 bytes
2024-11-26 20:38:34,331 - Packet - Src: 192.168.8.194, Dst: 52.108.240.61, Protocol: 6, Size: 54 bytes
2024-11-26 20:38:50,156 - Packet - Src: 52.108.240.61, Dst: 192.168.8.194, Protocol: 6, Size: 87 bytes
2024-11-26 20:38:50,197 - Packet - Src: 192.168.8.194, Dst: 52.108.240.61, Protocol: 6, Size: 54 bytes
2024-11-26 20:38:54,862 - Packet - Src: 192.168.8.130, Dst: 255.255.255.255, Protocol: 17, Size: 100 bytes
2024-11-26 20:39:01,620 - Packet - Src: 192.168.8.130, Dst: 255.255.255.255, Protocol: 17, Size: 78 bytes
2024-11-26 20:39:06,126 - Packet - Src: 52.108.240.61, Dst: 192.168.8.194, Protocol: 6, Size: 87 bytes
2024-11-26 20:39:06,127 - Packet - Src: 52.108.240.61, Dst: 192.168.8.194, Protocol: 6, Size: 87 bytes
2024-11-26 20:39:06,129 - Packet - Src: 192.168.8.194, Dst: 52.108.240.61, Protocol: 6, Size: 66 bytes
2024-11-26 20:39:10,427 - Packet - Src: 52.108.240.61, Dst: 192.168.8.194, Protocol: 6, Size: 209 bytes
2024-11-26 20:39:10,428 - Packet - Src: 52.108.240.61, Dst: 192.168.8.194, Protocol: 6, Size: 215 bytes
2024-11-26 20:39:10,430 - Packet - Src: 192.168.8.194, Dst: 52.108.240.61, Protocol: 6, Size: 54 bytes
2024-11-26 20:39:11,399 - Packet - Src: 192.168.8.194, Dst: 52.108.9.12, Protocol: 6, Size: 66 bytes
2024-11-26 20:39:11,459 - Packet - Src: 52.108.9.12, Dst: 192.168.8.194, Protocol: 6, Size: 66 bytes
2024-11-26 20:39:11,861 - Packet - Src: 52.108.9.12, Dst: 192.168.8.194, Protocol: 6, Size: 66 bytes
2024-11-26 20:39:12,672 - Packet - Src: 52.108.9.12, Dst: 192.168.8.194, Protocol: 6, Size: 62 bytes
2024-11-26 20:39:14,318 - Packet - Src: 52.108.9.12, Dst: 192.168.8.194, Protocol: 6, Size: 54 bytes
2024-11-26 20:39:19,833 - Packet - Src: 192.168.8.194, Dst: 34.210.177.177, Protocol: 6, Size: 66 bytes
